Species, Donors with at least 5 isolates passing filters, Percentage pairs with HR, Percentage donors with HR
Bacteroides_uniformis,84,0.72,2.38
Bacteroides_thetaiotaomicron,11,0.00,0.00
Parabacteroides_distasonis,70,0.11,1.43
Bacteroides_ovatus,30,0.00,0.00
Parabacteroides_merdae,32,1.25,3.12
Phocaeicola_vulgatus,25,2.02,12.00
Bacteroides_caccae,10,0.00,0.00
Escherichia_coli,192,0.96,3.12
Bifidobacterium_longum,268,23.07,64.18
Lacticaseibacillus_paracasei,13,0.00,0.00
Bacteroides_cellulosilyticus,15,0.00,0.00
Collinsella_sp900541125,45,0.00,0.00
Bacteroides_xylanisolvens,14,0.00,0.00
Lacticaseibacillus_rhamnosus,11,4.24,9.09
Bifidobacterium_adolescentis,304,15.48,59.21
Bifidobacterium_pseudocatenulatum,32,7.39,18.75
Bifidobacterium_catenulatum,10,0.00,0.00
Streptococcus_salivarius,22,0.00,0.00
Eggerthella_lenta,17,5.76,23.53
